year,round,circuit_name,circuit_country,driver_id,lap_number,lap_time_ms,estimated_horsepower,car_weight,track_temperature,driving_aggression,tire_compound,fuel_load_percent
2010,1,Bahrain International Circuit,Bahrain,vettel,1,123366.0,768,773,32,0.7330915546862596,medium,62.49852841507668
2010,1,Bahrain International Circuit,Bahrain,alonso,1,125394.0,760,782,32,0.9544104256013094,soft,76.50121129246476
2010,1,Bahrain International Circuit,Bahrain,massa,1,126758.0,993,787,43,0.6262461015126926,hard,54.16596543443417
2010,1,Bahrain International Circuit,Bahrain,rosberg,1,128063.0,812,756,37,0.8478174461196806,medium,42.87532058488292
2010,1,Bahrain International Circuit,Bahrain,hamilton,1,128558.0,995,728,29,0.8976122460237784,hard,13.454462720181487
2010,1,Bahrain International Circuit,Bahrain,michael_schumacher,1,129527.0,993,787,41,0.660584736905234,hard,31.99312411964066
2010,1,Bahrain International Circuit,Bahrain,webber,1,129956.0,876,794,40,0.6436338007604656,medium,47.917705474941144
2010,1,Bahrain International Circuit,Bahrain,button,1,130721.0,932,781,36,0.8711843672519768,medium,37.63771024141099
2010,1,Bahrain International Circuit,Bahrain,liuzzi,1,131473.0,790,738,29,0.9285416526870933,hard,27.380102113474766
2010,1,Bahrain International Circuit,Bahrain,barrichello,1,132361.0,803,729,23,0.6270709574717559,soft,65.78006180548586
2010,1,Bahrain International Circuit,Bahrain,petrov,1,132963.0,921,723,20,0.6406709764940646,medium,74.86457109920819
2010,1,Bahrain International Circuit,Bahrain,kobayashi,1,133768.0,968,735,44,0.7230565077906653,soft,17.436170409778263
2010,1,Bahrain International Circuit,Bahrain,hulkenberg,1,134245.0,929,763,32,0.6352288720359461,hard,16.34682341239201
2010,1,Bahrain International Circuit,Bahrain,rosa,1,134907.0,807,712,25,0.9920819768478948,medium,58.03566622057608
2010,1,Bahrain International Circuit,Bahrain,alguersuari,1,135479.0,884,721,32,0.8900607690661245,medium,46.013858370076576
2010,1,Bahrain International Circuit,Bahrain,kovalainen,1,137386.0,989,785,40,0.9227021076403172,soft,41.21918693328364
2010,1,Bahrain International Circuit,Bahrain,buemi,1,138065.0,985,759,42,0.8667461190581672,medium,94.20780096168039
2010,1,Bahrain International Circuit,Bahrain,glock,1,138573.0,851,770,30,0.5743476690826319,soft,78.2108652554415
2010,1,Bahrain International Circuit,Bahrain,grassi,1,139114.0,836,781,40,0.7915041330874553,soft,75.29138969505617
2010,1,Bahrain International Circuit,Bahrain,trulli,1,139666.0,843,789,20,0.6896965134801198,soft,40.29303349048778
2010,1,Bahrain International Circuit,Bahrain,kubica,1,140006.0,901,747,31,0.6320977263716863,soft,74.57443712678052
2010,1,Bahrain International Circuit,Bahrain,sutil,1,144476.0,936,720,24,0.8809396414940616,medium,21.198683590552243
2010,1,Bahrain International Circuit,Bahrain,bruno_senna,1,147750.0,831,777,40,0.9632380817176799,medium,64.10741964255764
2010,1,Bahrain International Circuit,Bahrain,chandhok,1,154479.0,807,799,22,0.8239888676965479,soft,54.31454964667576
2010,1,Bahrain International Circuit,Bahrain,vettel,2,122517.0,874,790,36,0.8868307687695522,soft,57.44474681652244
2010,1,Bahrain International Circuit,Bahrain,alonso,2,122720.0,905,701,35,0.6369154962570059,medium,78.60727977846842
2010,1,Bahrain International Circuit,Bahrain,massa,2,123196.0,809,778,39,0.7098799652419847,medium,23.277252302019647
